unit, lesson, question, answer
Basics, 1, What is 'Yes' in spanish, Si
Basics, 2, What is 'Hello' in spanish, Hola
Basics, 3, What is 'Goodbye' in spanish, Adios
Basics, 4, What is 'How are you' in spanish, Cómo estás
Basics, 5, What is 'Im good' in spanish, Estoy bien
Basics, 6, What is 'Im bad' in spanish, Estoy mal
Basics, 7, What is 'My name is' in spanish, Me llamo

Directions, 1, What is 'Im from Utah America' in spanish, soy de Utah Estados Unidos
Directions, 2, What is 'Do you speak english' in spanish, Puedes hablar ingles
Directions, 3, What is 'Excuse me' in spanish, Disculpe me
Directions, 4, What is 'Sorry' in spanish, Lo siento
Directions, 5, What is 'Help' in spanish, Socorro O Ayúdeme
Directions, 6, What is 'Thank you' in spanish, Gracias
Directions, 7, What is 'I need a doctor' in spanish, Nessecito un doctor

Small Talk, 1, What is 'Yes' in spanish, Si
Small Talk, 2, What is 'Hello' in spanish, Hola
Small Talk, 3, What is 'Goodbye' in spanish, Adios
Small Talk, 4, What is 'How are you' in spanish, Cómo estás
Small Talk, 5, What is 'Im good' in spanish, Estoy bien
Small Talk, 6, What is 'Im bad' in spanish, Estoy mal
Small Talk, 7, What is 'My name is' in spanish, Me llamo
