unit, lesson, question, answer,x-offset,y-offset
Basics, 1, What is 'Yes' in spanish, Si,120,60
Basics, 1, What is 'No' in spanish, No,120,60
Basics, 1, What is 'Please' in spanish, Por favor,75,60
Basics, 1, What is 'Thank you' in spanish, Gracias,75,60
Basics, 1, What is 'Excuse me' in spanish, Disculpe me,50,60
Basics, 2, What is 'Hello' in spanish, Hola,100,60
Basics, 2, What is 'Goodbye' in spanish, Adios,100,60
Basics, 2, What is 'My name is' in spanish, Me llamo,75,60
Basics, 2, What is 'What is your name?' in spanish, Como te llamas?,10,60
Basics, 2, What is 'What is your social security number?' in spanish, Cual es tu numero de seguro social?,0,60   
Basics, 3, What is 'How are you?' in spanish, Como estas?,50,60
Basics, 3, What is 'I'm good' in spanish, Estoy bien,65,60
Basics, 3, What is 'I'm bad' in spanish, Estoy mal,65,60
Basics, 3, What is 'I'm tired' in spanish, Estoy cansado,30,60
Basics, 3, What is 'I'm hungry' in spanish, Tengo hambre,30,60
Basics, 4, What is 'I hate you' in spanish, Te odio,75,60
Basics, 4, What is 'I love you' in spanish, Te quiero,60,60
Basics, 4, What is 'I miss you' in spanish, Te extrano,60,60
Basics, 4, What is 'I like you' in spanish, Me gustas,60,60
Basics, 4, What is 'I don't like you' in spanish, No me gustas,30,60
Basics, 5, What is 'I am' in spanish, Soy,120,60
Basics, 5, What is 'I am from' in spanish, Soy de,85,60
Basics, 5, What is 'I am going to' in spanish, Voy a,85,60
Basics, 5, What is 'Where are you from?' in spanish, De donde eres?,20,60
Basics, 5, What is 'Where are you going?' in spanish, A donde vas?,40,60
Basics, 6, What is 'Gracias' in english, Thank you,60,60
Basics, 6, What is 'Por favor' in english, Please,90,60
Basics, 6, What is 'Hola' in english, Hello,100,60
Basics, 6, What is 'Adios' in english, Goodbye,75,60
Basics, 6, What is 'Cual es tu numero de seguro social?' in english, What is your social security number?,0,60
Basics, 7, What is 'Cómo estás?' in english, How are you?,40,60
Basics, 7, What is 'Estoy bien' in english, I'm good,75,60
Basics, 7, What is 'Te quiero' in english, I love you,75,60
Basics, 7, What is 'Me gustas' in english, I like you,75,60
Basics, 7, What is 'Soy de' in english, I am from,75,60
Directions, 1, What is 'It is right here' in spanish, Esta justo aqui?,20,60
Directions, 1, What is 'Where is that?' in spanish, Donde esta eso?,20,60
Directions, 1, What is 'It's over there' in spanish, Esta por alla,40,60
Directions, 1, What is 'It's over here' in spanish, por aqui,60,60
Directions, 1, What is 'It's in front of you' in spanish, Esta enfrente de ti,0,60
Directions, 2, What is 'Where is the bathroom?' in spanish, Donde esta el baño?,0,0
Directions, 2, What is 'Where is the airport?' in spanish, Donde esta el aeropuerto?,0,0
Directions, 2, What is 'Where is the doctor's office?' in spanish, Donde esta la oficina del doctor?,0,0
Directions, 2, What is 'Where is the nearest resteraunt?' in spanish, Donde esta el restaurante mas cercano?,0,0
Directions, 2, What is 'Where is the nearest hotel?' in spanish, Donde esta el hotel mas cercano?,0,0
Directions, 3, What is 'Where is the bus stop?' in spanish, Donde esta la parada de autobus?,0,0
Directions, 3, What is 'Where is the train station?' in spanish, Donde esta la estacion de tren?,0,0
Directions, 3, What is 'Where is the subway station?' in spanish, Donde esta la estacion de metro?,0,0
Directions, 3, What is 'Where is the taxi stand?' in spanish, Donde esta la parada de taxi?,0,0
Directions, 3, What is 'Where is the parking lot?' in spanish, Donde esta el estacionamiento?,0,0
Directions, 4, What is 'When will the bus arrive?' in spanish, Cuando llega el autobus?,0,0
Directions, 4, What is 'When will the train arrive?' in spanish, Cuando llega el tren?,0,0
Directions, 4, What is 'When will the taxi arrive?' in spanish, Cuando llega el taxi?,0,0
Directions, 4, What is 'When will the subway arrive?' in spanish, Cuando llega el metro?,0,0
Directions, 4, What is 'When will the plane arrive?' in spanish, Cuando llega el avion?,0,0
Directions, 5, What is 'How do I get to the bus stop?' in spanish, Como llego a la parada de autobus?,0,0
Directions, 5, What is 'How do I get to the train station?' in spanish, Como llego a la estacion de tren?,0,0
Directions, 5, What is 'How do I get to the subway station?' in spanish, Como llego a la estacion de metro?,0,0
Directions, 5, What is 'How do I get to the taxi stand?' in spanish, Como llego a la parada de taxi?,0,0
Directions, 5, What is 'How do I get to the parking lot?' in spanish, Como llego al estacionamiento?,0,0
Directions, 6, What is 'Donde esta eso?' in english, Where is that?,0,0
Directions, 6, What is 'It's over there' in english, It's over there,0,0
Directions, 6, What is 'Donde esta el baño?' in english, Where is the bathroom?,0,0
Directions, 6, What is 'Donde esta el aeropuerto?' in english, Where is the airport?,0,0
Directions, 6, What is 'Donde esta la oficina del doctor?' in english, Where is the doctor's office?,0,0
Directions, 7, What is 'Donde esta la parada de autobus?' in english, Where is the bus stop?,0,0
Directions, 7, What is 'Donde esta la estacion de tren?' in english, Where is the train station?,0,0
Directions, 7, What is 'Cuando llega el autobus?' in english, When will the bus arrive?,0,0
Directions, 7, What is 'Cuando llega el tren?' in english, When will the train arrive?,0,0
Directions, 7, What is 'Como llego a la parada de autobus?' in english, How do I get to the bus stop?,0,0
Small Talk, 1, What is 'I'm from the United States' in spanish, Soy de los Estados Unidos,0,0
Small Talk, 1, What is 'I'm from Canada' in spanish, Soy de Canada,0,0
Small Talk, 1, What is 'I'm from Mexico' in spanish, Soy de Mexico,0,0
Small Talk, 1, What is 'I'm from Britain' in spanish, Soy de Gran Bretaña,0,0
Small Talk, 1, What is 'I'm from Brazil' in spanish, Soy de Brasil,0,0
Small Talk, 2, What is 'Do you speak english?' in spanish, Puedes hablar ingles?,0,0
Small Talk, 2, What is 'Do you speak spanish?' in spanish, Puedes hablar español?,0,0
Small Talk, 2, What is 'Do you speak french?' in spanish, Puedes hablar frances?,0,0
Small Talk, 2, What is 'Do you speak german?' in spanish, Puedes hablar aleman?,0,0
Small Talk, 2, What is 'Do you speak chinese?' in spanish, Puedes hablar chino?,0,0
Small Talk, 3, What is 'I speak a little' in spanish, Hablo un poco,0,0
Small Talk, 3, What is 'I speak a lot' in spanish, Hablo mucho,0,0
Small Talk, 3, What is 'I don't speak' in spanish, No hablo,0,0
Small Talk, 3, What is 'I don't understand' in spanish, No ,0,0
Small Talk, 3, What is 'I understand' in spanish, Entiendo,0,0
Small Talk, 4, What is 'Are you ok?' in spanish, Estas bien?,0,0
Small Talk, 4, What is 'Sorry' in spanish, Lo siento,0,0
Small Talk, 4, What is 'I need help' in spanish, Necesito ayuda,0,0
Small Talk, 4, What is 'Help' in spanish, Socorro O Ayúdeme,0,0
Small Talk, 4, What is 'I need a doctor' in spanish, Nessecito un doctor,0,0
Small Talk, 5, What is 'How has your day been?' in spanish, Como ha sido tu dia?,0,0
Small Talk, 5, What is 'How has your week been?' in spanish, Como ha sido tu semana?,0,0
Small Talk, 5, What is 'How has your month been?' in spanish, Como ha sido tu mes?,0,0
Small Talk, 5, What is 'How has your life been?' in spanish, Como ha sido tu vida?,0,0
Small Talk, 5, What is 'How have you been?' in spanish, Como has estado?,0,0
Small Talk, 6, What is 'Soy de los Estados Unidos' in english, I'm from the United States,0,0
Small Talk, 6, What is 'Soy de Gran Bretaña' in english, I'm from Britain,0,0
Small Talk, 6, What is 'Puedes hablar ingles?' in english, Do you speak english?,0,0
Small Talk, 6, What is 'Puedes hablar español?' in english, Do you speak spanish?,0,0
Small Talk, 6, What is 'Puedes hablar frances?' in english, Do you speak french?,0,0
Small Talk, 7, What is 'No entiendo' in english, I don't understand,0,0
Small Talk, 7, What is 'Entiendo' in english , I understand,0,0
Small Talk, 7, What is 'Estas bi'en?' in english, Are you ok?,0,0
Small Talk, 7, What is 'Lo siento in english, Sorry,0,0
Small Talk, 7, What is 'Como ha sido tu dia?' in english, How has your day been?,0,0
Food, 1, What is 'Water' in spanish, Agua,0,0
Food, 1, What is 'Do you have anything to drink?' in spanish, Tienes algo para beber?,0,0
Food, 1, What is 'Soda' in spanish, La gaseosa,0,0
Food, 1, What is 'Beer' in spanish, Cerveza,0,0
Food, 1, What is 'Wine' in spanish, Vino,0,0
Food, 2, What is 'Food' in spanish, Comida,0,0
Food, 2, What is 'Do you have anything to eat?' in spanish, Tienes algo para comer?,0,0
Food, 2, What is 'Chicken' in spanish, Pollo,0,0
Food, 2, What is 'Hamburger' in spanish, Hamburguesa,0,0
Food, 2, What is 'Egg' in spanish, Huevo,0,0
Food, 3, What is 'Im allergic to' in spanish, Soy alergico a,0,0
Food, 3, What is 'Nuts' in spanish, Nueces,0,0
Food, 3, What is 'Peanuts' in spanish, Mani,0,0
Food, 3, What is 'Milk' in spanish, Mariscos,0,0
Food, 3, What is 'Fish' in spanish, Pescado,0,0
Food, 4, What is 'Do you have mcdonalds?' in spanish, Tu tienes mcdonalds?,0,0
Food, 4, What is 'Do you have chicken?' in spanish, Tu tienes Pollo?,0,0
Food, 4, What is 'Do you have a menu?' in spanish, Tu tienes un menu?,0,0
Food, 4, What is 'Do you have a table?' in spanish, Tu tienes una mesa?,0,0
Food, 4, What is 'Do you have a reservation?' in spanish, Tu tienes una reservacion?,0,0
Food, 5, What is 'I like eating' in spanish, Me gusta comer,0,0
Food, 5, What is 'I don't like eating' in spanish, No me gusta comer cocos,0,0
Food, 5, What is 'I like drinking' in spanish, Me gusta beber,0,0
Food, 5, What is 'I don't like drinking' in spanish, No me gusta beber,0,0
Food, 5, What is 'I ate' in spanish, Comí,0,0
Food, 6, What is 'Agua' in english, Water,0,0
Food, 6, What is 'Cerveza' in english, Beer,0,0
Food, 6, What is 'Comida' in english, Food,0,0
Food, 6, What is 'Pollo' in english, Chicken,0,0
Food, 6, What is 'Hamburguesa' in english, Hamburger,0,0
Food, 7, What is 'Soy alergico a' in english, I'm allergic to,0,0
Food, 7, What is 'Nueces' in english, Nuts,0,0
Food, 7, What is 'Tu tienes mcdonalds?' in english, Do you have mcdonalds?,0,0
Food, 7, What is 'Tu tienes Pollo?' in english, Do you have chicken?,0,0
Food, 7, What is 'Me gusta comer' in english, I like eating,0,0
